reviewed,word
и҆з-вѣ*ст.вꙋ́-е-ши,и҆з-вѣ*ст.вꙋ́-е-ши
и҆*з.ри-но-ве́-на,и҆*з.ри-но-ве́-на
кле-о-па́.тра,кле-о-па́.тра
ко-ле́*б.ле-мꙋ-ю,ко-ле́*б.ле-мꙋ-ю
ко-ле́б.лю-ща-го-сѧ,ко-ле́б.лю-ща-го-сѧ
ко.с*нꙋ́-сѧ,ко.с*нꙋ́-сѧ
кꙋ́.плю,кꙋ́.плю
ла́*м.падъ,ла́*м.падъ
ло́.б*нѣмъ,ло́.б*нѣмъ
лю.блю̀,лю.блю̀
лю-бо-мꙋ́*д.рї-ѧ,лю-бо-мꙋ́*д.рї-ѧ
лю́тъ,лю́.тъ
мно-го-ѡ*б.ра́з-ныхъ,мно-го-ѡ*б.ра́з-ныхъ
мо-ли̑*т.вы,мо-ли̑*т.вы
мы-та́р*ствъ,мы-та́р*ствъ
на-вы́.кни-те,на-вы́.кни-те
на-ча́-т*ки,на-ча́-т*ки
не-бе*с.ныхъ,не-бе*с.ныхъ
не-бла́*з-на-ѧ,не-бла́*з-на-ѧ
не-пра́*в.до-ва-хомъ,не-пра́*в.до-ва-хомъ
не-пра́*в-дꙋ,не-пра́*в-дꙋ
не-пра́*в-ды,не-пра́*в-ды
не-пра́*в-дѣ,не-пра́*в-дѣ
не-со.мнѣ́н-нѡ,не-со.мнѣ́н-нѡ
не-со.мнѣ́н-но-ю,не-со.мнѣ́н-но-ю
не-чꙋ́в*ст.вї-ѧ,не-чꙋ́в*ст.вї-ѧ
низ-по*с.лѝ,низ-по*с.лѝ
ѡ҆*б,ѡ҆*б
ѻ҆*б.ра́-до-ван-на-ѧ,ѻ҆*б.ра́-до-ван-на-ѧ
ѡ҆*б.ра́-до-ван-на-ѧ,ѡ҆*б.ра́-до-ван-на-ѧ
ѡ҆б̾-ѧ́.тъ,ѡ҆б̾-ѧ́.тъ
ѻ҆.вна̀,ѻ҆.вна̀
ѻ҆́.в*цы,ѻ҆́.в*цы
ѻ҆-гне-до*х.но-ве́н-нꙋ-ю,ѻ҆-гне-до*х.но-ве́н-нꙋ-ю
ѻ҆-те́-че*ствъ,ѻ҆-те́-че*ствъ
ѿ-и́*де,ѿ-и́*де
ѻ҆́т.расль,ѻ҆́т.расль
ѿ-ри́.нꙋ-ша,ѿ-ри́.нꙋ-ша
ѻ҆*че́съ,ѻ҆*че́съ
па́.с*цѣ,па́.с*цѣ
пер-во-з*да́н-на-го,пер-во-з*да́н-на-го
пер-во-з*да́н-на-гѡ,пер-во-з*да́н-на-гѡ
пер-во-з*да́н-но-мꙋ,пер-во-з*да́н-но-мꙋ
пер-во-з*да́н-ный,пер-во-з*да́н-ный
по-бѣ́г.ло,по-бѣ́г.ло
по-ги́-бе*ль,по-ги́-бе*ль
по-грѧ́*з-нꙋ-ти,по-грѧ́*з-нꙋ-ти
по-дви́г.нетъ,по-дви́г.нетъ
